x,y
555874.819,8639603.412
556172.682,8639629.313
556470.545,8639571.035
556768.409,8639363.826
556923.816,8639221.369
557105.124,8639065.963
557150.451,8638975.308
557189.302,8638845.803
557169.877,8638638.593
557143.975,8638502.612
557085.698,8638386.057
556956.192,8638256.551
556755.458,8638042.867
556587.100,8637803.281
556425.218,8637644.636
556276.287,8637453.615
556091.741,8637249.644
555955.760,8637048.910
555806.828,8636825.512
555651.421,8636618.303
555389.172,8636317.202
555211.101,8636129.419
555036.269,8635938.398
554890.575,8635744.139
554686.603,8635485.127
554550.622,8635235.829
554472.918,8635041.570
554421.116,8634834.361
554375.789,8634617.439
554281.897,8634374.615
554220.382,8634271.011
554126.490,8634138.267
